Taxon	Colour	Group
Polyommatus_admetus	#3da5d9	Agrodiaetus
Polyommatus_damocles	#3da5d9	Agrodiaetus
Polyommatus_damon	#3da5d9	Agrodiaetus
Polyommatus_damone	#3da5d9	Agrodiaetus
Polyommatus_eriwanensis	#3da5d9	Agrodiaetus
Polyommatus_fulgens	#3da5d9	Agrodiaetus
Polyommatus_iphigenia	#3da5d9	Agrodiaetus
Polyommatus_pseudactis	#3da5d9	Agrodiaetus
Polyommatus_surakovi	#3da5d9	Agrodiaetus
Lysandra_bellargus	#2364aa	Lysandra
Lysandra_coridon	#2364aa	Lysandra
Lysandra_hispana	#2364aa	Lysandra
Polyommatus_daphnis	darkgrey	Meleageria
Polyommatus_amandus	darkgrey	Neolysandra
Polyommatus_escheri	darkgrey	Neolysandra
Aricia_agestis	darkgrey	Polyommatina
Aricia_artaxerxes	darkgrey	Polyommatina
Celastrina_argiolus	red	Polyommatinae
Cyaniris_semiargus	darkgrey	Polyommatina
Glaucopsyche_alexis	red	Polyommatinae
Lycaena_phlaeas	black	Other
Polyommatus_atlantica	#73bfb8	Plebicula
Polyommatus_dorylas	#73bfb8	Plebicula
Polyommatus_thersites	red	Thersitesia
Polyommatus_celina	darkgrey	Polyommatus.s.str.
Polyommatus_eros	darkgrey	Polyommatus.s.str.
Polyommatus_icarus	darkgrey	Polyommatus.s.str.
Maurus_vogelii	darkgrey	Polyommatina
Cyclargus_thomasi	darkgrey	Polyommatina
Melitaea_cinxia	black	Other
Phengaris_arion	red	Polyommatinae
Plebejus_argus	darkgrey	Polyommatina
Helleia_helle	black	Other
