ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
34,96.29,0.13,0.04,3.54,4594,6,2,169,4771,88.81,5.8,5.39,0,129626.36,8460.36,7866.29,0,145953.01,97.48,1.32,1.2,0,4650.64,62.98,57.38,0,4771,1,0,0,0.0533801,0.531769
35,16.65,12.3,9.23,61.82,796,588,441,2955,4780,27.42,38.56,34.02,0,4942.54,6948.86,6131.18,0,18022.58,39.6,31.36,29.04,0,1892.7,1499.14,1388.16,0,4780,1,0,0,0.00371599,0.0161243
36,30.87,15.14,11.33,42.66,1466,719,538,2026,4749,40.82,31.97,27.22,0,48607.94,38069.53,32415.98,0,119093.45,45.2,31.83,22.98,0,2146.43,1511.42,1091.15,0,4749,1,0,0,0.00687057,0.0330173
37,84.53,1.79,1.7,11.97,4017,85,81,569,4752,63.31,19.41,17.28,0,115982.81,35566.42,31655.99,0,183205.22,89.98,5.06,4.96,0,4275.94,240.31,235.75,0,4752,1,0,0,0.0444286,0.308342
38,91.58,2.13,1,5.29,4383,102,48,253,4786,59.39,21.66,18.95,0,59725.85,21784.75,19052.02,0,100562.62,94.97,3.11,1.92,0,4545.25,148.95,91.8,0,4786,1,0,0,0.0958818,0.421143
39,65.38,16.37,14.61,3.64,3127,783,699,174,4783,27.5,47.83,24.67,0,14359.92,24978.13,12880,0,52218.05,66.77,17.51,15.71,0,3193.68,837.69,751.63,0,4783,1,0,0,0.0426729,0.11435
40,92.33,1.66,1.6,4.41,4334,78,75,207,4694,67.27,16.5,16.23,0,167723.18,41143.87,40477.7,0,249344.75,95.58,2.26,2.16,0,4486.65,105.99,101.35,0,4694,1,0,0,0.0616476,0.436539
41,95.31,1.69,0.57,2.43,4513,80,27,115,4735,42.33,31.67,26,0,15685.79,11738.56,9636.08,0,37060.43,96.87,2.16,0.97,0,4586.72,102.32,45.96,0,4735,1,0,0,0.292263,0.497717
42,97.13,1.08,1.08,0.71,4506,50,50,33,4639,73.01,13.87,13.12,0,319895.98,60780.33,57473.23,0,438149.54,97.65,1.18,1.16,0,4530.1,54.88,54.02,0,4639,1,0,0,0.259824,0.535242
43,18.14,20.13,7.22,54.52,867,962,345,2606,4780,29.61,44.96,25.43,0,5375.63,8162.55,4617.77,0,18155.95,41.33,35.26,23.41,0,1975.73,1685.21,1119.06,0,4780,1,0,0,0.00322426,0.0211563
44,43.61,4.47,3.87,48.05,2086,214,185,2298,4783,33.12,35.21,31.67,0,7729.83,8216.33,7390.32,0,23336.48,65.92,18.52,15.56,0,3152.84,885.82,744.33,0,4783,1,0,0,0.00840569,0.109195
45,91.35,0.21,0.13,8.32,4371,10,6,398,4785,59.43,21.7,18.88,0,14325.07,5230,4550.63,0,24105.7,96.07,2.15,1.77,0,4597.17,103.08,84.75,0,4785,1,0,0,0.043571,0.460578
46,38.01,31.13,29.16,1.7,1792,1468,1375,80,4715,35.68,32.33,31.99,0,18248.41,16532.06,16362.04,0,51142.51,38.49,31.9,29.61,0,1814.72,1504.06,1396.23,0,4715,1,0,0,0.00362852,0.0133207
47,44.05,8.13,1.91,45.91,2101,388,91,2190,4770,33.33,38.37,28.31,0,7562.55,8706.08,6423.99,0,22692.62,66.72,21.09,12.19,0,3182.51,1005.98,581.5,0,4770,1,0,0,0.0084799,0.112866
48,15.57,10.11,5.77,68.55,736,478,273,3241,4728,36.37,36.56,27.07,0,27671.39,27818.72,20600.55,0,76090.66,41.86,31.6,26.54,0,1979.12,1494.03,1254.85,0,4728,1,0,0,0.00347061,0.0228068
