chr	ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	Label	Length
OW569320.1	35	NA	NA	NA	NA	NA	NA	NA	NA	NA		0
OW569320.1	36	97.18	172	0.56	1	0	0	2.26	4	177	1	3.26625
OW569320.1	37	22.73	40	2.27	4	14.2	25	60.8	107	176	1	0.127686
OW569320.1	38	30.68	54	2.84	5	4.55	8	61.93	109	176	1	0.670523
OW569320.1	39	92.66	164	0	0	0	0	7.34	13	177	1	2.82714
OW569320.1	40	43.1	75	22.99	40	31.61	55	2.3	4	174	1	0.0803425
OW569320.1	41	26.29	46	16	28	1.14	2	56.57	99	175	1	0.69431
OW569320.1	42	16.57	29	19.43	34	4	7	60	105	175	1	0.136692
OW569320.1	43	14.69	26	0	0	3.39	6	81.92	145	177	1	0.0991237
OW569320.1	44	1.96	3	12.42	19	1.96	3	83.66	128	153	0.53	0.00891829
OW569320.1	45	4.67	7	2.67	4	10	15	82.67	124	150	1	0.0672027
OW569320.1	46	18.39	32	1.15	2	4.02	7	76.44	133	174	1	0.193215
OW569320.1	47	87.5	140	0	0	0	0	12.5	20	160	1	1.69273
OW569320.1	48	58.76	104	3.95	7	4.52	8	32.77	58	177	1	0.570237
OW569320.1	49	84.21	144	4.09	7	5.26	9	6.43	11	171	1	0.972735
OW569320.1	50	48.02	85	0.56	1	0	0	51.41	91	177	1	0.543103
OW569320.1	51	55.37	98	1.69	3	2.82	5	40.11	71	177	1	1.09973
OW569320.1	52	11.93	21	4.55	8	8.52	15	75	132	176	1	0.0575236
OW569320.1	53	22.73	40	18.18	32	6.25	11	52.84	93	176	1	0.146576
OW569320.1	54	58.39	87	5.37	8	4.7	7	31.54	47	149	1	0.59615
OW569320.1	55	11.93	21	6.82	12	10.23	18	71.02	125	176	0.89	0.0191349
OW569320.1	56	31.25	55	5.68	10	3.98	7	59.09	104	176	1	0.655622
OW569320.1	57	29.61	45	22.37	34	13.16	20	34.87	53	152	1	0.128201
OW569320.1	58	18.08	32	8.47	15	21.47	38	51.98	92	177	1	0.0985176
OW569320.1	59	51.41	91	7.91	14	7.34	13	33.33	59	177	1	0.195797
OW569320.1	60	82.49	146	2.82	5	0.56	1	14.12	25	177	1	1.89343
OW569320.1	61	89.83	159	1.69	3	1.69	3	6.78	12	177	1	2.58029
OW569320.1	62	93.18	164	0.57	1	1.7	3	4.55	8	176	1	3.05168
OW569320.1	63	96.55	168	1.15	2	1.15	2	1.15	2	174	1	3.33741
OW569320.1	64	72.88	129	11.3	20	11.86	21	3.95	7	177	1	0.695875
OW569320.1	65	90.4	160	2.82	5	3.95	7	2.82	5	177	1	2.70959
OW569320.1_MZ_only	35	NA	NA	NA	NA	NA	NA	NA	NA	NA		0
OW569320.1_MZ_only	36	97.08	133	0.73	1	0	0	2.19	3	137	1	3.26625
OW569320.1_MZ_only	37	26.47	36	0.74	1	13.24	18	59.56	81	136	1	0.127686
OW569320.1_MZ_only	38	25.74	35	1.47	2	5.88	8	66.91	91	136	1	0.670523
OW569320.1_MZ_only	39	92.7	127	0	0	0	0	7.3	10	137	1	2.82714
OW569320.1_MZ_only	40	48.51	65	24.63	33	26.12	35	0.75	1	134	1	0.0803425
OW569320.1_MZ_only	41	25.74	35	18.38	25	0.74	1	55.15	75	136	1	0.69431
OW569320.1_MZ_only	42	16.91	23	22.06	30	2.94	4	58.09	79	136	1	0.136692
OW569320.1_MZ_only	43	16.79	23	0	0	1.46	2	81.75	112	137	1	0.0991237
OW569320.1_MZ_only	44	2.21	3	11.76	16	2.21	3	83.82	114	136	0.53	0.00891829
OW569320.1_MZ_only	45	3.76	5	1.5	2	10.53	14	84.21	112	133	1	0.0672027
OW569320.1_MZ_only	46	15.67	21	1.49	2	3.73	5	79.1	106	134	1	0.193215
OW569320.1_MZ_only	47	87.6	113	0	0	0	0	12.4	16	129	1	1.69273
OW569320.1_MZ_only	48	59.85	82	4.38	6	2.19	3	33.58	46	137	1	0.570237
OW569320.1_MZ_only	49	85.19	115	5.93	8	3.7	5	5.19	7	135	1	0.972735
OW569320.1_MZ_only	50	48.18	66	0.73	1	0	0	51.09	70	137	1	0.543103
OW569320.1_MZ_only	51	55.47	76	1.46	2	0.73	1	42.34	58	137	1	1.09973
OW569320.1_MZ_only	52	11.68	16	2.92	4	8.76	12	76.64	105	137	1	0.0575236
OW569320.1_MZ_only	53	18.98	26	18.25	25	6.57	9	56.2	77	137	1	0.146576
OW569320.1_MZ_only	54	59.56	81	4.41	6	4.41	6	31.62	43	136	1	0.59615
OW569320.1_MZ_only	55	12.5	17	5.88	8	9.56	13	72.06	98	136	0.89	0.0191349
OW569320.1_MZ_only	56	29.41	40	5.15	7	2.94	4	62.5	85	136	1	0.655622
OW569320.1_MZ_only	57	31.62	43	22.06	30	13.24	18	33.09	45	136	1	0.128201
OW569320.1_MZ_only	58	20.44	28	10.22	14	23.36	32	45.99	63	137	1	0.0985176
OW569320.1_MZ_only	59	61.31	84	5.11	7	5.84	8	27.74	38	137	1	0.195797
OW569320.1_MZ_only	60	84.67	116	2.92	4	0.73	1	11.68	16	137	1	1.89343
OW569320.1_MZ_only	61	93.43	128	1.46	2	2.19	3	2.92	4	137	1	2.58029
OW569320.1_MZ_only	62	95.59	130	0	0	1.47	2	2.94	4	136	1	3.05168
OW569320.1_MZ_only	63	94.78	127	1.49	2	2.24	3	1.49	2	134	1	3.33741
OW569320.1_MZ_only	64	74.45	102	10.95	15	12.41	17	2.19	3	137	1	0.695875
OW569320.1_MZ_only	65	91.97	126	2.19	3	2.92	4	2.92	4	137	1	2.70959
OW569320.1	35	NA	NA	NA	NA	NA	NA	NA	NA	NA		0
OW569320.1	36	97.18	172	0.56	1	0	0	2.26	4	177	1	3.26625
OW569320.1	37	22.73	40	2.27	4	14.2	25	60.8	107	176	1	0.127686
OW569320.1	38	30.68	54	2.84	5	4.55	8	61.93	109	176	1	0.670523
OW569320.1	39	92.66	164	0	0	0	0	7.34	13	177	1	2.82714
OW569320.1	40	43.1	75	22.99	40	31.61	55	2.3	4	174	1	0.0803425
OW569320.1	41	26.29	46	16	28	1.14	2	56.57	99	175	1	0.69431
OW569320.1	42	16.57	29	19.43	34	4	7	60	105	175	1	0.136692
OW569320.1	43	14.69	26	0	0	3.39	6	81.92	145	177	1	0.0991237
OW569320.1	44	1.96	3	12.42	19	1.96	3	83.66	128	153	0.53	0.00891829
OW569320.1	45	4.67	7	2.67	4	10	15	82.67	124	150	1	0.0672027
OW569320.1	46	18.39	32	1.15	2	4.02	7	76.44	133	174	1	0.193215
OW569320.1	47	87.5	140	0	0	0	0	12.5	20	160	1	1.69273
OW569320.1	48	58.76	104	3.95	7	4.52	8	32.77	58	177	1	0.570237
OW569320.1	49	84.21	144	4.09	7	5.26	9	6.43	11	171	1	0.972735
OW569320.1	50	48.02	85	0.56	1	0	0	51.41	91	177	1	0.543103
OW569320.1	51	55.37	98	1.69	3	2.82	5	40.11	71	177	1	1.09973
OW569320.1	52	11.93	21	4.55	8	8.52	15	75	132	176	1	0.0575236
OW569320.1	53	22.73	40	18.18	32	6.25	11	52.84	93	176	1	0.146576
OW569320.1	54	58.39	87	5.37	8	4.7	7	31.54	47	149	1	0.59615
OW569320.1	55	11.93	21	6.82	12	10.23	18	71.02	125	176	0.89	0.0191349
OW569320.1	56	31.25	55	5.68	10	3.98	7	59.09	104	176	1	0.655622
OW569320.1	57	29.61	45	22.37	34	13.16	20	34.87	53	152	1	0.128201
OW569320.1	58	18.08	32	8.47	15	21.47	38	51.98	92	177	1	0.0985176
OW569320.1	59	51.41	91	7.91	14	7.34	13	33.33	59	177	1	0.195797
OW569320.1	60	82.49	146	2.82	5	0.56	1	14.12	25	177	1	1.89343
OW569320.1	61	89.83	159	1.69	3	1.69	3	6.78	12	177	1	2.58029
OW569320.1	62	93.18	164	0.57	1	1.7	3	4.55	8	176	1	3.05168
OW569320.1	63	96.55	168	1.15	2	1.15	2	1.15	2	174	1	3.33741
OW569320.1	64	72.88	129	11.3	20	11.86	21	3.95	7	177	1	0.695875
OW569320.1	65	90.4	160	2.82	5	3.95	7	2.82	5	177	1	2.70959
OW569321.1	35	NA	NA	NA	NA	NA	NA	NA	NA	NA		0
OW569321.1	36	94.59	332	0	0	0	0	5.41	19	351	1	3.26625
OW569321.1	37	20.96	74	9.92	35	17.28	61	51.84	183	353	1	0.127686
OW569321.1	38	43.79	155	3.67	13	3.11	11	49.44	175	354	1	0.670523
OW569321.1	39	92.02	323	0.28	1	0	0	7.69	27	351	1	2.82714
OW569321.1	40	33.53	116	28.03	97	36.42	126	2.02	7	346	1	0.0803425
OW569321.1	41	46.61	165	5.93	21	1.41	5	46.05	163	354	1	0.69431
OW569321.1	42	14.77	52	10.8	38	7.67	27	66.76	235	352	1	0.136692
OW569321.1	43	7.65	27	2.55	9	4.53	16	85.27	301	353	1	0.0991237
OW569321.1	44	2.59	9	4.32	15	1.73	6	91.35	317	347	0.53	0.00891829
OW569321.1	45	6.34	22	8.93	31	6.92	24	77.81	270	347	1	0.0672027
OW569321.1	46	23.94	85	3.66	13	4.79	17	67.61	240	355	1	0.193215
OW569321.1	47	80.58	278	0.29	1	0.87	3	18.26	63	345	1	1.69273
OW569321.1	48	38.35	135	5.11	18	16.19	57	40.34	142	352	1	0.570237
OW569321.1	49	65.14	228	6.86	24	11.71	41	16.29	57	350	1	0.972735
OW569321.1	50	33.14	117	0.57	2	0.85	3	65.44	231	353	1	0.543103
OW569321.1	51	49.29	174	0.57	2	0.28	1	49.86	176	353	1	1.09973
OW569321.1	52	7.12	25	5.13	18	9.4	33	78.35	275	351	1	0.0575236
OW569321.1	53	15.36	53	10.72	37	7.25	25	66.67	230	345	1	0.146576
OW569321.1	54	44.38	154	10.37	36	5.76	20	39.48	137	347	1	0.59615
OW569321.1	55	9.86	35	6.48	23	7.32	26	76.34	271	355	0.89	0.0191349
OW569321.1	56	33.62	119	3.11	11	1.69	6	61.58	218	354	1	0.655622
OW569321.1	57	29.06	102	20.23	71	15.95	56	34.76	122	351	1	0.128201
OW569321.1	58	19.03	67	12.22	43	13.07	46	55.68	196	352	1	0.0985176
OW569321.1	59	41.76	147	7.95	28	12.78	45	37.5	132	352	1	0.195797
OW569321.1	60	86.42	299	0.87	3	2.31	8	10.4	36	346	1	1.89343
OW569321.1	61	91.35	317	1.44	5	1.15	4	6.05	21	347	1	2.58029
OW569321.1	62	96.01	337	0.57	2	1.14	4	2.28	8	351	1	3.05168
OW569321.1	63	97.38	334	1.17	4	0.87	3	0.58	2	343	1	3.33741
OW569321.1	64	63.28	224	19.21	68	13.28	47	4.24	15	354	1	0.695875
OW569321.1	65	92.22	320	1.73	6	1.15	4	4.9	17	347	1	2.70959
OW569322.1	35	NA	NA	NA	NA	NA	NA	NA	NA	NA		0
OW569322.1	36	95.59	130	0	0	0	0	4.41	6	136	1	3.26625
OW569322.1	37	23.36	32	5.84	8	18.25	25	52.55	72	137	1	0.127686
OW569322.1	38	43.07	59	4.38	6	5.84	8	46.72	64	137	1	0.670523
OW569322.1	39	91.97	126	0	0	0	0	8.03	11	137	1	2.82714
OW569322.1	40	40.88	56	24.82	34	32.85	45	1.46	2	137	1	0.0803425
OW569322.1	41	47.41	64	5.19	7	0.74	1	46.67	63	135	1	0.69431
OW569322.1	42	14.07	19	7.41	10	4.44	6	74.07	100	135	1	0.136692
OW569322.1	43	7.3	10	0.73	1	6.57	9	85.4	117	137	1	0.0991237
OW569322.1	44	2.21	3	4.41	6	2.21	3	91.18	124	136	0.53	0.00891829
OW569322.1	45	6.62	9	4.41	6	3.68	5	85.29	116	136	1	0.0672027
OW569322.1	46	21.17	29	5.84	8	5.11	7	67.88	93	137	1	0.193215
OW569322.1	47	78.63	103	0	0	0.76	1	20.61	27	131	1	1.69273
OW569322.1	48	41.61	57	5.84	8	12.41	17	40.15	55	137	1	0.570237
OW569322.1	49	63.97	87	13.24	18	8.82	12	13.97	19	136	1	0.972735
OW569322.1	50	27.94	38	1.47	2	0	0	70.59	96	136	1	0.543103
OW569322.1	51	46.32	63	0	0	0	0	53.68	73	136	1	1.09973
