species	genome_size
Polyommatus_damon	550116100
Polyommatus_iphigenia	558694117
Polyommatus_admetus	591889865
Polyommatus_fulgens	594304384
Polyommatus_damone	595826959
Polyommatus_damocles	601363509
Polyommatus_pseudactis	618576985
Polyommatus_eriwanensis	659723978
Polyommatus_surakovi	701634660
Cyaniris_semiargus	447038311
Lysandra_bellargus	528143932
Lysandra_hispana	531808709
Lysandra_coridon	547493998
Polyommatus_daphnis	645313314
Polyommatus_escheri	578230566
Polyommatus_amandus	715367454
Aricia_agestis	440721693
Aricia_artaxerxes	464228107
Celastrina_argiolus	498422184
Cyclargus_thomasi	364217607
Glaucopsyche_alexis	627288057
Phengaris_arion	551311748
Lycaena_phlaeas	425740620
Melitaea_cinxia	505655711
Helleia_helle	554163282
Polyommatus_atlantica	636338404
Polyommatus_dorylas	681053858
Plebejus_argus	386884675
Polyommatus_celina	509022837
Polyommatus_icarus	518155020
Polyommatus_eros	571972067
Polyommatus_thersites	551183048
Maurus_vogelii	434058030
