# BUSCO version is: 5.7.1 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	SUPER_24	282771	466671	+	17104.4	8018	https://v10-1.orthodb.org/?query=0at7088	Immunoglobulin
1at7088	Complete	SUPER_Z1	20705498	20567420	-	9232.1	4245	https://v10-1.orthodb.org/?query=1at7088	Immunoglobulin
2at7088	Complete	SUPER_190	1380737	1499670	+	14748.2	8227	https://v10-1.orthodb.org/?query=2at7088	EGF-like calcium-binding domain
3at7088	Complete	SUPER_208	861371	759374	-	10141.5	5416	https://v10-1.orthodb.org/?query=3at7088	Spectrin repeat
4at7088	Complete	SUPER_65	1403555	1564393	+	13297.8	6935	https://v10-1.orthodb.org/?query=4at7088	Spectrin repeat
6at7088	Complete	SUPER_16	1852948	1698088	-	8219.1	4319	https://v10-1.orthodb.org/?query=6at7088	Cadherin-like
11at7088	Complete	SUPER_219	997715	1202279	+	7120.1	3715	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
13at7088	Complete	SUPER_71	1850601	1965186	+	7714.3	3773	https://v10-1.orthodb.org/?query=13at7088	Dynein heavy chain AAA lid domain
18at7088	Complete	SUPER_36	137737	193362	+	7584.4	4341	https://v10-1.orthodb.org/?query=18at7088	Midasin AAA lid domain 5
20at7088	Complete	SUPER_34	2984484	3038749	+	7033.7	3246	https://v10-1.orthodb.org/?query=20at7088	EGF-like calcium-binding domain
25at7088	Complete	SUPER_117	1483935	1471760	-	6753.1	3494	https://v10-1.orthodb.org/?query=25at7088	Dynein heavy chain AAA lid domain
26at7088	Complete	SUPER_202	1409034	1331521	-	6752.9	3457	https://v10-1.orthodb.org/?query=26at7088	Dynein heavy chain AAA lid domain
27at7088	Complete	SUPER_Z1	23045472	22921324	-	6625.2	3559	https://v10-1.orthodb.org/?query=27at7088	Dynein heavy chain AAA lid domain
28at7088	Complete	SUPER_191	205599	262489	+	5275.7	4317	https://v10-1.orthodb.org/?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	SUPER_13	3195750	3162454	-	6741.7	3815	https://v10-1.orthodb.org/?query=31at7088	Ankyrin repeat
33at7088	Complete	SUPER_2	4570027	4611736	+	6449.2	3179	https://v10-1.orthodb.org/?query=33at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
34at7088	Complete	SUPER_177	1595578	1529386	-	6847.9	3494	https://v10-1.orthodb.org/?query=34at7088	Fragile site-associated protein, C-terminal
36at7088	Complete	SUPER_8	1572916	1544714	-	6321.0	3663	https://v10-1.orthodb.org/?query=36at7088	FY-rich, C-terminal
37at7088	Complete	SUPER_Z1	16978885	16938027	-	6058.4	3162	https://v10-1.orthodb.org/?query=37at7088	Laminin G domain
38at7088	Complete	SUPER_26	2370240	2412664	+	3859.5	2726	https://v10-1.orthodb.org/?query=38at7088	Lipid transport, open beta-sheet
41at7088	Complete	SUPER_142	1271618	1242863	-	5133.1	2498	https://v10-1.orthodb.org/?query=41at7088	BEACH domain
43at7088	Complete	SUPER_23	1085614	1019139	-	7085.3	3809	https://v10-1.orthodb.org/?query=43at7088	FY-rich, C-terminal
46at7088	Complete	SUPER_20	2391590	2339219	-	4904.4	2491	https://v10-1.orthodb.org/?query=46at7088	SRCR domain
47at7088	Complete	SUPER_143	1514439	1504212	-	4825.4	2703	https://v10-1.orthodb.org/?query=47at7088	FERM, C-terminal PH-like domain
48at7088	Complete	SUPER_32	2211652	2129965	-	4339.3	2206	https://v10-1.orthodb.org/?query=48at7088	WD40 repeat
49at7088	Complete	SUPER_212	304864	381650	+	4102.7	2665	https://v10-1.orthodb.org/?query=49at7088	Uncharacterised domain, cysteine-rich
50at7088	Complete	SUPER_129	1459268	1400391	-	5126.9	2338	https://v10-1.orthodb.org/?query=50at7088	Tox-GHH domain
