ref_chr	mean_diff	max_diff	total_lengths	prop_diff	num_query_chr
OW569341.1	2805966.6666666665	22.569954149041223	18648465.0	15.046636099360814	3.0
OW569334.1	473796.0	4.580190454266312	15516691.0	3.053460302844208	3.0
OW569332.1	721997.3333333334	5.127272441208984	22372636.0	3.227144683949327	4.0
OW569324.1	1183654.1666666667	7.311243825114626	26957383.0	4.390834847235233	4.0
OW569321.1	959206.0	6.796271198990128	33062424.0	2.901196839046042	6.0
OW569337.1	198421.5	2.0182049433321687	19579627.0	1.0134079673734337	4.0
OW569329.1	954471.6666666666	7.114286742228515	23180834.0	4.117503566380169	4.0
OW569325.1	2236390.6	15.977226891906248	27549687.0	8.117662462009097	5.0
OW569340.1	1622997.5	16.29989866836464	17592729.0	9.225387942939381	4.0
OW569328.1	694822.1666666666	5.52403718383302	24401465.0	2.847460866249902	4.0
OW569339.1	770556.0	6.001842560276033	19257986.0	4.001228373517356	3.0
OW569326.1	526531.0	3.8499409036959484	24167332.0	2.178688983955697	4.0
OW569322.1	1943454.8333333333	11.596513598358829	28511345.0	6.816426350048843	4.0
OW569323.1	870910.1333333333	6.373718428048293	27907524.0	3.1207001141818718	6.0
OW569333.1	838192.3333333334	8.052075026375045	20750676.0	4.0393495293036885	4.0
OW569338.1	707673.6666666666	6.864281038552288	19055834.0	3.713685093324525	4.0
OW569336.1	1145186.6666666667	11.14334930756105	20332334.0	5.632342389548916	4.0
OW569330.1	1908422.6666666667	13.020306315146527	21985919.0	8.680204210097685	3.0
OW569327.1	423254.5	2.6695819075701253	25705823.0	1.6465316049207996	4.0
OW569335.1	766272.5	6.505995298621762	19253503.0	3.979912123004318	4.0
OW569331.1	583713.6666666666	5.121363011391261	22233710.0	2.6253543230826826	4.0
OW569342.1	231302.0	1.760468991581941	13138658.0	1.760468991581941	2.0
