# BUSCO version is: 5.7.1 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	HG995320.1	7139004	7276995	+	17257.0	8018	https://v10-1.orthodb.org/?query=0at7088	Immunoglobulin
1at7088	Complete	HG995319.1	19282075	19184094	-	9263.7	4245	https://v10-1.orthodb.org/?query=1at7088	Immunoglobulin
2at7088	Complete	HG995334.1	1183327	1286054	+	14773.7	8261	https://v10-1.orthodb.org/?query=2at7088	EGF-like calcium-binding domain
3at7088	Complete	HG995325.1	2662616	2780169	+	10141.5	5416	https://v10-1.orthodb.org/?query=3at7088	Spectrin repeat
4at7088	Complete	HG995331.1	3652555	3504584	-	13309.0	6935	https://v10-1.orthodb.org/?query=4at7088	Spectrin repeat
6at7088	Complete	HG995326.1	1278790	1432970	+	8206.0	4320	https://v10-1.orthodb.org/?query=6at7088	Cadherin-like
11at7088	Complete	HG995356.1	4947879	5078727	+	7112.8	3722	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
13at7088	Complete	HG995328.1	12269033	12329576	+	7711.8	3774	https://v10-1.orthodb.org/?query=13at7088	Dynein heavy chain AAA lid domain
18at7088	Complete	HG995352.1	1799795	1848339	+	7587.6	4346	https://v10-1.orthodb.org/?query=18at7088	Midasin AAA lid domain 5
20at7088	Complete	HG995323.1	2603184	2555007	-	7029.2	3246	https://v10-1.orthodb.org/?query=20at7088	EGF-like calcium-binding domain
25at7088	Complete	HG995356.1	6347181	6335114	-	6762.7	3489	https://v10-1.orthodb.org/?query=25at7088	Dynein heavy chain AAA lid domain
26at7088	Complete	HG995346.1	3363522	3273357	-	6747.3	3457	https://v10-1.orthodb.org/?query=26at7088	Dynein heavy chain AAA lid domain
27at7088	Complete	HG995319.1	21530384	21394382	-	6690.4	3559	https://v10-1.orthodb.org/?query=27at7088	Dynein heavy chain AAA lid domain
28at7088	Complete	HG995346.1	5313708	5376032	+	5294.7	4314	https://v10-1.orthodb.org/?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	HG995320.1	3876471	3922308	+	7897.5	4341	https://v10-1.orthodb.org/?query=31at7088	Ankyrin repeat
33at7088	Complete	HG995349.1	4782779	4749337	-	6484.5	3179	https://v10-1.orthodb.org/?query=33at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
34at7088	Complete	HG995346.1	450703	395635	-	6828.0	3485	https://v10-1.orthodb.org/?query=34at7088	Fragile site-associated protein, C-terminal
36at7088	Complete	HG995362.1	3594395	3619914	+	6318.8	3663	https://v10-1.orthodb.org/?query=36at7088	FY-rich, C-terminal
37at7088	Complete	HG995319.1	15688939	15648427	-	6107.3	3167	https://v10-1.orthodb.org/?query=37at7088	Laminin G domain
38at7088	Complete	HG995320.1	861066	906409	+	3856.6	2726	https://v10-1.orthodb.org/?query=38at7088	Lipid transport, open beta-sheet
41at7088	Complete	HG995326.1	8888241	8915101	+	5115.8	2507	https://v10-1.orthodb.org/?query=41at7088	BEACH domain
43at7088	Complete	HG995339.1	49089	140365	+	7217.9	3992	https://v10-1.orthodb.org/?query=43at7088	FY-rich, C-terminal
46at7088	Complete	HG995325.1	6267729	6229910	-	4895.8	2491	https://v10-1.orthodb.org/?query=46at7088	SRCR domain
47at7088	Complete	HG995335.1	6375361	6365134	-	4827.0	2703	https://v10-1.orthodb.org/?query=47at7088	FERM, C-terminal PH-like domain
48at7088	Complete	HG995361.1	2124986	2054619	-	4395.4	2206	https://v10-1.orthodb.org/?query=48at7088	WD40 repeat
49at7088	Complete	HG995345.1	7538765	7446755	-	4091.8	2684	https://v10-1.orthodb.org/?query=49at7088	Uncharacterised domain, cysteine-rich
50at7088	Complete	HG995332.1	11318368	11248834	-	5122.4	2338	https://v10-1.orthodb.org/?query=50at7088	Tox-GHH domain
