# BUSCO version is: 5.7.1 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	LR994567.1	5729629	5852719	+	17255.9	8018	https://v10-1.orthodb.org/?query=0at7088	Immunoglobulin
1at7088	Complete	LR994547.1	8392150	8504847	+	9220.7	4245	https://v10-1.orthodb.org/?query=1at7088	Immunoglobulin
2at7088	Complete	LR994557.1	9047617	9154323	+	14753.0	8238	https://v10-1.orthodb.org/?query=2at7088	EGF-like calcium-binding domain
3at7088	Complete	LR994548.1	10024529	9932999	-	10126.5	5416	https://v10-1.orthodb.org/?query=3at7088	Spectrin repeat
4at7088	Complete	LR994546.1	20544290	20435700	-	13290.2	6935	https://v10-1.orthodb.org/?query=4at7088	Spectrin repeat
6at7088	Complete	LR994548.1	22591273	22449936	-	8219.8	4319	https://v10-1.orthodb.org/?query=6at7088	Cadherin-like
11at7088	Complete	LR994565.1	4110212	4228266	+	7094.4	3715	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
13at7088	Complete	LR994555.1	19059937	19112632	+	7717.8	3773	https://v10-1.orthodb.org/?query=13at7088	Dynein heavy chain AAA lid domain
18at7088	Complete	LR994565.1	8967722	9006262	+	7611.1	4343	https://v10-1.orthodb.org/?query=18at7088	Midasin AAA lid domain 5
20at7088	Complete	LR994551.1	2546149	2494461	-	7029.4	3246	https://v10-1.orthodb.org/?query=20at7088	EGF-like calcium-binding domain
25at7088	Complete	LR994565.1	5261249	5249263	-	6754.0	3494	https://v10-1.orthodb.org/?query=25at7088	Dynein heavy chain AAA lid domain
26at7088	Complete	LR994546.1	14323252	14375721	+	6344.1	3160	https://v10-1.orthodb.org/?query=26at7088	Dynein heavy chain AAA lid domain
27at7088	Complete	LR994547.1	6606913	6666141	+	6635.5	3559	https://v10-1.orthodb.org/?query=27at7088	Dynein heavy chain AAA lid domain
28at7088	Complete	LR994546.1	12612841	12562727	-	5271.3	4293	https://v10-1.orthodb.org/?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	LR994567.1	3172562	3214091	+	6690.1	3811	https://v10-1.orthodb.org/?query=31at7088	Ankyrin repeat
33at7088	Complete	LR994546.1	4123365	4088178	-	6491.7	3179	https://v10-1.orthodb.org/?query=33at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
34at7088	Complete	LR994546.1	16785799	16834197	+	6803.2	3483	https://v10-1.orthodb.org/?query=34at7088	Fragile site-associated protein, C-terminal
36at7088	Complete	LR994566.1	10860237	10882152	+	6308.3	3663	https://v10-1.orthodb.org/?query=36at7088	FY-rich, C-terminal
37at7088	Complete	LR994547.1	11488267	11529496	+	6113.5	3167	https://v10-1.orthodb.org/?query=37at7088	Laminin G domain
38at7088	Complete	LR994567.1	744232	782941	+	3848.9	2727	https://v10-1.orthodb.org/?query=38at7088	Lipid transport, open beta-sheet
41at7088	Complete	LR994548.1	16169225	16137602	-	5673.8	2795	https://v10-1.orthodb.org/?query=41at7088	BEACH domain
43at7088	Complete	LR994551.1	12912106	12972594	+	7243.7	3989	https://v10-1.orthodb.org/?query=43at7088	FY-rich, C-terminal
46at7088	Complete	LR994548.1	6287128	6332226	+	4900.9	2493	https://v10-1.orthodb.org/?query=46at7088	SRCR domain
47at7088	Complete	LR994554.1	3212456	3202217	-	4827.7	2703	https://v10-1.orthodb.org/?query=47at7088	FERM, C-terminal PH-like domain
48at7088	Complete	LR994562.1	5376826	5425447	+	4374.9	2206	https://v10-1.orthodb.org/?query=48at7088	WD40 repeat
49at7088	Complete	LR994557.1	2073976	2134051	+	4090.6	2655	https://v10-1.orthodb.org/?query=49at7088	Uncharacterised domain, cysteine-rich
50at7088	Complete	LR994553.1	10054624	9987566	-	5126.3	2338	https://v10-1.orthodb.org/?query=50at7088	Tox-GHH domain
51at7088	Complete	LR994548.1	10545385	10513703	-	4014.7	2357	https://v10-1.orthodb.org/?query=51at7088	Cadherin-like
52at7088	Complete	LR994549.1	15272057	15216198	-	5189.6	2643	https://v10-1.orthodb.org/?query=52at7088	Cation channel complex component UNC80, N-terminal
54at7088	Complete	LR994553.1	4072988	4056052	-	5145.4	2438	https://v10-1.orthodb.org/?query=54at7088	Tox-GHH domain
56at7088	Complete	LR994551.1	4639403	4582633	-	4973.3	2760	https://v10-1.orthodb.org/?query=56at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
57at7088	Complete	LR994546.1	9646014	9626050	-	3804.9	1908	https://v10-1.orthodb.org/?query=57at7088	EGF-like calcium-binding domain
59at7088	Complete	LR994565.1	7680868	7718495	+	5455.7	1985	https://v10-1.orthodb.org/?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	LR994553.1	20666475	20710290	+	5651.0	3425	https://v10-1.orthodb.org/?query=60at7088	Cadherin-like
63at7088	Complete	LR994561.1	15240507	15199273	-	4814.5	2854	https://v10-1.orthodb.org/?query=63at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
64at7088	Complete	LR994557.1	9633534	9620309	-	4062.5	2008	https://v10-1.orthodb.org/?query=64at7088	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
65at7088	Complete	LR994550.1	13560935	13656337	+	3692.6	1817	https://v10-1.orthodb.org/?query=65at7088	Domain of unknown function DUF1088
66at7088	Complete	LR994559.1	4884034	4904327	+	3811.8	1705	https://v10-1.orthodb.org/?query=66at7088	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
68at7088	Complete	LR994547.1	21159407	21026331	-	5113.2	2482	https://v10-1.orthodb.org/?query=68at7088	Cell morphogenesis central region
69at7088	Complete	LR994564.1	2818630	2831392	+	3890.1	2092	https://v10-1.orthodb.org/?query=69at7088	FKBP12-rapamycin binding domain
70at7088	Complete	LR994566.1	8988188	8999408	+	4085.2	2938	https://v10-1.orthodb.org/?query=70at7088	EGF-like calcium-binding domain
72at7088	Complete	LR994554.1	8298901	8422674	+	4707.7	2404	https://v10-1.orthodb.org/?query=72at7088	Filamin/ABP280 repeat-like
74at7088	Complete	LR994560.1	9933178	9947471	+	4792.0	2297	https://v10-1.orthodb.org/?query=74at7088	Zinc finger C2H2-type
78at7088	Complete	LR994550.1	10262167	10209439	-	5627.8	3476	https://v10-1.orthodb.org/?query=78at7088	Baculoviral IAP repeat-containing protein 6
83at7088	Complete	LR994567.1	1994151	1929515	-	4373.6	2178	https://v10-1.orthodb.org/?query=83at7088	RyR/IP3R Homology associated domain
84at7088	Complete	LR994550.1	7796552	7837366	+	4630.0	2285	https://v10-1.orthodb.org/?query=84at7088	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
86at7088	Complete	LR994558.1	10486142	10461376	-	3410.1	2020	https://v10-1.orthodb.org/?query=86at7088	UME domain
88at7088	Complete	LR994546.1	6672628	6720728	+	5625.9	2888	https://v10-1.orthodb.org/?query=88at7088	Chromo domain
96at7088	Complete	LR994547.1	18634374	18488848	-	3914.9	1990	https://v10-1.orthodb.org/?query=96at7088	Laminin G domain
101at7088	Complete	LR994547.1	17669944	17822833	+	3329.3	1859	https://v10-1.orthodb.org/?query=101at7088	PHR
103at7088	Complete	LR994562.1	4964343	4907843	-	4022.1	2060	https://v10-1.orthodb.org/?query=103at7088	Calcium-dependent secretion activator domain
105at7088	Complete	LR994567.1	3247990	3218950	-	5961.6	3941	https://v10-1.orthodb.org/?query=105at7088	EGF-like calcium-binding domain
106at7088	Complete	LR994558.1	12683766	12662381	-	4296.3	2377	https://v10-1.orthodb.org/?query=106at7088	small subunit processome component 20 homolog
112at7088	Complete	LR994554.1	7765357	7738193	-	3660.0	2010	https://v10-1.orthodb.org/?query=112at7088	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
113at7088	Complete	LR994547.1	17663976	17500578	-	4575.8	2358	https://v10-1.orthodb.org/?query=113at7088	Dbl homology (DH) domain
116at7088	Complete	LR994546.1	4656570	4665330	+	3312.2	1711	https://v10-1.orthodb.org/?query=116at7088	FERM central domain
122at7088	Complete	LR994552.1	15627171	15590556	-	4009.2	1985	https://v10-1.orthodb.org/?query=122at7088	Tetratricopeptide repeat
123at7088	Complete	LR994550.1	3471991	3431634	-	3565.7	1812	https://v10-1.orthodb.org/?query=123at7088	DNA-directed DNA polymerase, family B, exonuclease domain
126at7088	Complete	LR994552.1	17433605	17471538	+	3624.1	1804	https://v10-1.orthodb.org/?query=126at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
