# BUSCO version is: 5.7.1 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	HG992126.1	2307731	2159291	-	17261.3	8018	https://v10-1.orthodb.org/?query=0at7088	Immunoglobulin
1at7088	Complete	HG992055.1	8670123	8551100	-	9248.5	4245	https://v10-1.orthodb.org/?query=1at7088	Immunoglobulin
2at7088	Complete	HG992087.1	4821725	4719231	-	14773.4	8261	https://v10-1.orthodb.org/?query=2at7088	EGF-like calcium-binding domain
3at7088	Complete	HG992086.1	4985211	4861874	-	10152.1	5416	https://v10-1.orthodb.org/?query=3at7088	Spectrin repeat
4at7088	Complete	HG992068.1	2975864	3087706	+	13309.5	6935	https://v10-1.orthodb.org/?query=4at7088	Spectrin repeat
6at7088	Complete	HG992064.1	5873069	5734017	-	8202.7	4320	https://v10-1.orthodb.org/?query=6at7088	Cadherin-like
11at7088	Complete	HG992116.1	4643507	4507986	-	7108.7	3723	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
13at7088	Complete	HG992073.1	385389	322242	-	7712.6	3773	https://v10-1.orthodb.org/?query=13at7088	Dynein heavy chain AAA lid domain
18at7088	Complete	HG992120.1	2995353	2948396	-	7580.0	4353	https://v10-1.orthodb.org/?query=18at7088	Midasin AAA lid domain 5
20at7088	Complete	HG992061.1	5435683	5484683	+	7029.3	3246	https://v10-1.orthodb.org/?query=20at7088	EGF-like calcium-binding domain
25at7088	Complete	HG992116.1	3152229	3164292	+	6753.6	3489	https://v10-1.orthodb.org/?query=25at7088	Dynein heavy chain AAA lid domain
26at7088	Complete	HG992109.1	3484342	3398459	-	6757.8	3457	https://v10-1.orthodb.org/?query=26at7088	Dynein heavy chain AAA lid domain
27at7088	Complete	HG992055.1	10906558	10799878	-	6697.9	3559	https://v10-1.orthodb.org/?query=27at7088	Dynein heavy chain AAA lid domain
28at7088	Complete	HG992133.1	216648	281236	+	5280.9	4314	https://v10-1.orthodb.org/?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	HG992123.1	3967026	4015808	+	7893.7	4341	https://v10-1.orthodb.org/?query=31at7088	Ankyrin repeat
33at7088	Complete	HG992096.1	4658720	4618627	-	6484.9	3178	https://v10-1.orthodb.org/?query=33at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
34at7088	Complete	HG992109.1	456185	409352	-	6823.5	3484	https://v10-1.orthodb.org/?query=34at7088	Fragile site-associated protein, C-terminal
36at7088	Complete	HG992142.1	1405349	1380655	-	6317.2	3663	https://v10-1.orthodb.org/?query=36at7088	FY-rich, C-terminal
37at7088	Complete	HG992055.1	4792944	4752882	-	6102.5	3167	https://v10-1.orthodb.org/?query=37at7088	Laminin G domain
38at7088	Complete	HG992123.1	865572	905408	+	3862.2	2726	https://v10-1.orthodb.org/?query=38at7088	Lipid transport, open beta-sheet
41at7088	Complete	HG992062.1	6005062	5975913	-	5116.3	2517	https://v10-1.orthodb.org/?query=41at7088	BEACH domain
43at7088	Complete	HG992104.1	39070	132387	+	7222.5	3991	https://v10-1.orthodb.org/?query=43at7088	FY-rich, C-terminal
46at7088	Complete	HG992086.1	1186208	1221696	+	4896.4	2491	https://v10-1.orthodb.org/?query=46at7088	SRCR domain
47at7088	Complete	HG992088.1	5406707	5416934	+	4826.2	2703	https://v10-1.orthodb.org/?query=47at7088	FERM, C-terminal PH-like domain
48at7088	Complete	HG992066.1	305998	228592	-	4392.9	2206	https://v10-1.orthodb.org/?query=48at7088	WD40 repeat
49at7088	Complete	HG992118.1	2627509	2549741	-	4088.7	2664	https://v10-1.orthodb.org/?query=49at7088	Uncharacterised domain, cysteine-rich
50at7088	Complete	HG992078.1	5424680	5364168	-	5120.3	2338	https://v10-1.orthodb.org/?query=50at7088	Tox-GHH domain
51at7088	Complete	HG992086.1	5624349	5600315	-	4013.1	2357	https://v10-1.orthodb.org/?query=51at7088	Cadherin-like
52at7088	Complete	HG992059.1	6311887	6239665	-	5285.7	2747	https://v10-1.orthodb.org/?query=52at7088	Cation channel complex component UNC80, N-terminal
54at7088	Complete	HG992075.1	4479752	4459116	-	5129.3	2438	https://v10-1.orthodb.org/?query=54at7088	Tox-GHH domain
56at7088	Complete	HG992061.1	2644799	2735594	+	4989.1	2760	https://v10-1.orthodb.org/?query=56at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
57at7088	Complete	HG992133.1	3628367	3650309	+	3797.8	1912	https://v10-1.orthodb.org/?query=57at7088	EGF-like calcium-binding domain
59at7088	Complete	HG992120.1	4617326	4579186	-	4915.6	1959	https://v10-1.orthodb.org/?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	HG992091.1	133440	57972	-	4409.4	2647	https://v10-1.orthodb.org/?query=60at7088	Cadherin-like
63at7088	Complete	HG992125.1	3682637	3622508	-	4812.0	2860	https://v10-1.orthodb.org/?query=63at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
64at7088	Complete	HG992087.1	4118263	4136720	+	4066.7	2007	https://v10-1.orthodb.org/?query=64at7088	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
65at7088	Complete	HG992108.1	2355591	2452368	+	3692.7	1825	https://v10-1.orthodb.org/?query=65at7088	Domain of unknown function DUF1088
66at7088	Complete	HG992082.1	695176	722835	+	3810.4	1703	https://v10-1.orthodb.org/?query=66at7088	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
68at7088	Complete	HG992055.1	29928506	29881950	-	2774.4	1235	https://v10-1.orthodb.org/?query=68at7088	Cell morphogenesis central region
69at7088	Complete	HG992129.1	1268394	1252663	-	3890.8	2093	https://v10-1.orthodb.org/?query=69at7088	FKBP12-rapamycin binding domain
70at7088	Complete	HG992085.1	5860014	5871240	+	4093.4	2938	https://v10-1.orthodb.org/?query=70at7088	EGF-like calcium-binding domain
