# BUSCO version is: 5.7.1 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	OY730179.1	24263014	24121635	-	17242.8	8018	https://v10-1.orthodb.org/?query=0at7088	Immunoglobulin
1at7088	Complete	OY730178.1	22868796	22971247	+	9235.2	4245	https://v10-1.orthodb.org/?query=1at7088	Immunoglobulin
2at7088	Complete	OY730189.1	17465810	17567461	+	14765.8	8210	https://v10-1.orthodb.org/?query=2at7088	EGF-like calcium-binding domain
3at7088	Complete	OY730188.1	22870991	22977971	+	10143.5	5416	https://v10-1.orthodb.org/?query=3at7088	Spectrin repeat
4at7088	Complete	OY730190.1	9377231	9231623	-	13294.1	6935	https://v10-1.orthodb.org/?query=4at7088	Spectrin repeat
6at7088	Complete	OY730187.1	11709004	11870732	+	8212.5	4319	https://v10-1.orthodb.org/?query=6at7088	Cadherin-like
11at7088	Complete	OY730180.1	5167560	5313546	+	7140.8	3716	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
13at7088	Complete	OY730177.1	21869241	21960305	+	7718.8	3774	https://v10-1.orthodb.org/?query=13at7088	Dynein heavy chain AAA lid domain
18at7088	Complete	OY730179.1	16669474	16609843	-	7584.3	4336	https://v10-1.orthodb.org/?query=18at7088	Midasin AAA lid domain 5
20at7088	Complete	OY730184.1	17740370	17783340	+	7036.5	3246	https://v10-1.orthodb.org/?query=20at7088	EGF-like calcium-binding domain
25at7088	Complete	OY730180.1	6601472	6589523	-	6769.0	3494	https://v10-1.orthodb.org/?query=25at7088	Dynein heavy chain AAA lid domain
26at7088	Complete	OY730190.1	2426156	2499143	+	6764.5	3457	https://v10-1.orthodb.org/?query=26at7088	Dynein heavy chain AAA lid domain
27at7088	Complete	OY730178.1	20904705	20963647	+	6732.3	3559	https://v10-1.orthodb.org/?query=27at7088	Dynein heavy chain AAA lid domain
28at7088	Complete	OY730190.1	707208	661711	-	5247.3	4323	https://v10-1.orthodb.org/?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	OY730182.1	3692875	3725992	+	6740.0	3816	https://v10-1.orthodb.org/?query=31at7088	Ankyrin repeat
33at7088	Complete	OY730189.1	29584081	29640561	+	6481.5	3179	https://v10-1.orthodb.org/?query=33at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
34at7088	Complete	OY730190.1	5184604	5230039	+	6822.4	3529	https://v10-1.orthodb.org/?query=34at7088	Fragile site-associated protein, C-terminal
36at7088	Complete	OY730185.1	21055640	21010679	-	6316.2	3663	https://v10-1.orthodb.org/?query=36at7088	FY-rich, C-terminal
37at7088	Complete	OY730178.1	26381102	26417800	+	6097.2	3167	https://v10-1.orthodb.org/?query=37at7088	Laminin G domain
38at7088	Complete	OY730177.1	13499046	13557757	+	3861.1	2726	https://v10-1.orthodb.org/?query=38at7088	Lipid transport, open beta-sheet
41at7088	Complete	OY730188.1	16211588	16257154	+	5674.8	2795	https://v10-1.orthodb.org/?query=41at7088	BEACH domain
43at7088	Complete	OY730177.1	23335257	23396947	+	7242.7	3988	https://v10-1.orthodb.org/?query=43at7088	FY-rich, C-terminal
46at7088	Complete	OY730185.1	20446301	20385058	-	4899.8	2491	https://v10-1.orthodb.org/?query=46at7088	SRCR domain
