# BUSCO version is: 5.7.1 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	OW569341.1	6615137	6755100	+	17256.8	8018	https://v10-1.orthodb.org/?query=0at7088	Immunoglobulin
1at7088	Complete	OW569320.1	22264843	22397464	+	9236.9	4245	https://v10-1.orthodb.org/?query=1at7088	Immunoglobulin
2at7088	Complete	OW569332.1	10482464	10381451	-	14676.7	8235	https://v10-1.orthodb.org/?query=2at7088	EGF-like calcium-binding domain
3at7088	Complete	OW569324.1	15254943	15362669	+	10128.9	5416	https://v10-1.orthodb.org/?query=3at7088	Spectrin repeat
4at7088	Complete	OW569321.1	22030139	21914001	-	13290.5	6935	https://v10-1.orthodb.org/?query=4at7088	Spectrin repeat
6at7088	Complete	OW569324.1	1441917	1582229	+	8223.2	4319	https://v10-1.orthodb.org/?query=6at7088	Cadherin-like
11at7088	Complete	OW569337.1	5553451	5665431	+	7102.9	3717	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
13at7088	Complete	OW569329.1	392492	330033	-	7706.9	3773	https://v10-1.orthodb.org/?query=13at7088	Dynein heavy chain AAA lid domain
18at7088	Complete	OW569337.1	11572270	11612598	+	7593.8	4339	https://v10-1.orthodb.org/?query=18at7088	Midasin AAA lid domain 5
20at7088	Complete	OW569325.1	22222345	22263896	+	7035.6	3246	https://v10-1.orthodb.org/?query=20at7088	EGF-like calcium-binding domain
25at7088	Complete	OW569337.1	6871807	6859593	-	6769.6	3489	https://v10-1.orthodb.org/?query=25at7088	Dynein heavy chain AAA lid domain
26at7088	Complete	OW569321.1	15060082	15123601	+	6339.5	3160	https://v10-1.orthodb.org/?query=26at7088	Dynein heavy chain AAA lid domain
27at7088	Complete	OW569320.1	20409007	20504203	+	6704.3	3559	https://v10-1.orthodb.org/?query=27at7088	Dynein heavy chain AAA lid domain
28at7088	Complete	OW569321.1	13460496	13395616	-	5253.5	4313	https://v10-1.orthodb.org/?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	OW569341.1	3708951	3754485	+	7945.6	4347	https://v10-1.orthodb.org/?query=31at7088	Ankyrin repeat
33at7088	Complete	OW569321.1	4538557	4497770	-	6480.6	3179	https://v10-1.orthodb.org/?query=33at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
34at7088	Complete	OW569321.1	17771334	17811862	+	6827.6	3486	https://v10-1.orthodb.org/?query=34at7088	Fragile site-associated protein, C-terminal
36at7088	Complete	OW569340.1	4775814	4746151	-	6303.7	3663	https://v10-1.orthodb.org/?query=36at7088	FY-rich, C-terminal
37at7088	Complete	OW569320.1	25562691	25594111	+	6104.8	3167	https://v10-1.orthodb.org/?query=37at7088	Laminin G domain
38at7088	Complete	OW569341.1	907215	965865	+	3858.1	2726	https://v10-1.orthodb.org/?query=38at7088	Lipid transport, open beta-sheet
41at7088	Complete	OW569324.1	8771156	8808274	+	5666.0	2795	https://v10-1.orthodb.org/?query=41at7088	BEACH domain
43at7088	Complete	OW569325.1	10954000	10900098	-	7219.4	3989	https://v10-1.orthodb.org/?query=43at7088	FY-rich, C-terminal
46at7088	Complete	OW569324.1	18924026	18886343	-	4894.6	2491	https://v10-1.orthodb.org/?query=46at7088	SRCR domain
47at7088	Complete	OW569328.1	17342213	17331992	-	4819.7	2703	https://v10-1.orthodb.org/?query=47at7088	FERM, C-terminal PH-like domain
48at7088	Complete	OW569339.1	11845710	11769939	-	4361.1	2206	https://v10-1.orthodb.org/?query=48at7088	WD40 repeat
49at7088	Complete	OW569332.1	18517810	18462485	-	4096.2	2664	https://v10-1.orthodb.org/?query=49at7088	Uncharacterised domain, cysteine-rich
50at7088	Complete	OW569326.1	12188562	12134238	-	5125.5	2338	https://v10-1.orthodb.org/?query=50at7088	Tox-GHH domain
51at7088	Complete	OW569324.1	14755242	14779986	+	4030.8	2357	https://v10-1.orthodb.org/?query=51at7088	Cadherin-like
52at7088	Complete	OW569322.1	10232446	10333640	+	5369.8	2823	https://v10-1.orthodb.org/?query=52at7088	Cation channel complex component UNC80, N-terminal
54at7088	Complete	OW569326.1	5461344	5443895	-	5141.8	2443	https://v10-1.orthodb.org/?query=54at7088	Tox-GHH domain
56at7088	Complete	OW569325.1	19718440	19790041	+	4969.4	2760	https://v10-1.orthodb.org/?query=56at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
57at7088	Complete	OW569321.1	10298187	10278100	-	3793.7	1908	https://v10-1.orthodb.org/?query=57at7088	EGF-like calcium-binding domain
59at7088	Complete	OW569337.1	9918280	9955208	+	4671.7	1961	https://v10-1.orthodb.org/?query=59at7088	uncharacterized protein LOC106102106
