# BUSCO version is: 5.7.1 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	SUPER_75	2380259	2524251	+	17260.7	8019	https://v10-1.orthodb.org/?query=0at7088	Immunoglobulin
1at7088	Complete	SUPER_Z	19988944	19850765	-	9230.9	4245	https://v10-1.orthodb.org/?query=1at7088	Immunoglobulin
2at7088	Complete	SUPER_32	1192180	1294608	+	14780.8	8261	https://v10-1.orthodb.org/?query=2at7088	EGF-like calcium-binding domain
3at7088	Complete	SUPER_30	3928683	3811201	-	10154.4	5416	https://v10-1.orthodb.org/?query=3at7088	Spectrin repeat
4at7088	Complete	SUPER_63	1412894	1259204	-	13309.1	6935	https://v10-1.orthodb.org/?query=4at7088	Spectrin repeat
6at7088	Complete	SUPER_12	5827345	5680131	-	8215.4	4320	https://v10-1.orthodb.org/?query=6at7088	Cadherin-like
11at7088	Complete	SUPER_52	4820863	4958011	+	7107.7	3722	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
13at7088	Complete	SUPER_27	5912304	5972277	+	7699.9	3773	https://v10-1.orthodb.org/?query=13at7088	Dynein heavy chain AAA lid domain
18at7088	Complete	SUPER_14	1531464	1477760	-	7591.8	4345	https://v10-1.orthodb.org/?query=18at7088	Midasin AAA lid domain 5
20at7088	Complete	SUPER_8	5105768	5158250	+	7031.5	3246	https://v10-1.orthodb.org/?query=20at7088	EGF-like calcium-binding domain
25at7088	Complete	SUPER_14	6169125	6181192	+	6760.3	3489	https://v10-1.orthodb.org/?query=25at7088	Dynein heavy chain AAA lid domain
26at7088	Complete	SUPER_10	1724302	1818955	+	6760.9	3457	https://v10-1.orthodb.org/?query=26at7088	Dynein heavy chain AAA lid domain
27at7088	Complete	SUPER_Z	22224931	22093034	-	6701.0	3559	https://v10-1.orthodb.org/?query=27at7088	Dynein heavy chain AAA lid domain
28at7088	Complete	SUPER_19	6514566	6460253	-	5306.0	4314	https://v10-1.orthodb.org/?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	SUPER_77	3833654	3879584	+	7908.5	4342	https://v10-1.orthodb.org/?query=31at7088	Ankyrin repeat
33at7088	Complete	SUPER_6	4673000	4632460	-	6483.2	3178	https://v10-1.orthodb.org/?query=33at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
34at7088	Complete	SUPER_10	4689006	4740334	+	6822.8	3485	https://v10-1.orthodb.org/?query=34at7088	Fragile site-associated protein, C-terminal
36at7088	Complete	SUPER_15	2122743	2149013	+	6324.3	3663	https://v10-1.orthodb.org/?query=36at7088	FY-rich, C-terminal
37at7088	Complete	SUPER_Z	16336330	16295775	-	6104.8	3167	https://v10-1.orthodb.org/?query=37at7088	Laminin G domain
38at7088	Complete	SUPER_77	836064	874569	+	3863.4	2726	https://v10-1.orthodb.org/?query=38at7088	Lipid transport, open beta-sheet
41at7088	Complete	SUPER_23	1837194	1869795	+	5675.4	2795	https://v10-1.orthodb.org/?query=41at7088	BEACH domain
43at7088	Complete	SUPER_25	6291089	6196708	-	7213.1	3991	https://v10-1.orthodb.org/?query=43at7088	FY-rich, C-terminal
46at7088	Complete	SUPER_30	248704	286907	+	4897.8	2491	https://v10-1.orthodb.org/?query=46at7088	SRCR domain
47at7088	Complete	SUPER_40	561297	551070	-	4822.4	2703	https://v10-1.orthodb.org/?query=47at7088	FERM, C-terminal PH-like domain
48at7088	Complete	SUPER_21	409568	346350	-	4370.6	2206	https://v10-1.orthodb.org/?query=48at7088	WD40 repeat
49at7088	Complete	SUPER_62	2400832	2470790	+	4104.0	2663	https://v10-1.orthodb.org/?query=49at7088	Uncharacterised domain, cysteine-rich
50at7088	Complete	SUPER_46	610120	683571	+	5125.2	2338	https://v10-1.orthodb.org/?query=50at7088	Tox-GHH domain
51at7088	Complete	SUPER_30	4590054	4565990	-	4010.4	2357	https://v10-1.orthodb.org/?query=51at7088	Cadherin-like
52at7088	Complete	SUPER_11	6244156	6168449	-	5282.8	2747	https://v10-1.orthodb.org/?query=52at7088	Cation channel complex component UNC80, N-terminal
54at7088	Complete	SUPER_39	4247737	4229634	-	5128.6	2438	https://v10-1.orthodb.org/?query=54at7088	Tox-GHH domain
56at7088	Complete	SUPER_8	2518344	2614739	+	4988.7	2760	https://v10-1.orthodb.org/?query=56at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
57at7088	Complete	SUPER_19	3090058	3066263	-	3800.4	1908	https://v10-1.orthodb.org/?query=57at7088	EGF-like calcium-binding domain
59at7088	Complete	SUPER_14	3067433	3032292	-	5158.8	1951	https://v10-1.orthodb.org/?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	SUPER_45	226755	143636	-	4418.7	2651	https://v10-1.orthodb.org/?query=60at7088	Cadherin-like
63at7088	Complete	SUPER_72	1215575	1281083	+	4813.4	2860	https://v10-1.orthodb.org/?query=63at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
64at7088	Complete	SUPER_32	1849401	1832323	-	4068.0	2007	https://v10-1.orthodb.org/?query=64at7088	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
65at7088	Complete	SUPER_78	1093899	1197135	+	3692.8	1825	https://v10-1.orthodb.org/?query=65at7088	Domain of unknown function DUF1088
66at7088	Complete	SUPER_48	711752	744461	+	3810.4	1703	https://v10-1.orthodb.org/?query=66at7088	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
68at7088	Complete	SUPER_Z	7786247	7738836	-	2775.5	1235	https://v10-1.orthodb.org/?query=68at7088	Cell morphogenesis central region
69at7088	Complete	SUPER_67	3290125	3306623	+	3892.0	2092	https://v10-1.orthodb.org/?query=69at7088	FKBP12-rapamycin binding domain
70at7088	Complete	SUPER_80	4240523	4251749	+	4091.7	2938	https://v10-1.orthodb.org/?query=70at7088	EGF-like calcium-binding domain
72at7088	Complete	SUPER_51	3850077	4011289	+	4704.5	2404	https://v10-1.orthodb.org/?query=72at7088	Filamin/ABP280 repeat-like
74at7088	Complete	SUPER_35	2956176	2941834	-	4799.5	2297	https://v10-1.orthodb.org/?query=74at7088	Zinc finger C2H2-type
78at7088	Complete	SUPER_74	2687548	2765472	+	5201.1	3433	https://v10-1.orthodb.org/?query=78at7088	Baculoviral IAP repeat-containing protein 6
83at7088	Complete	SUPER_77	2510917	2439906	-	4382.9	2179	https://v10-1.orthodb.org/?query=83at7088	RyR/IP3R Homology associated domain
84at7088	Complete	SUPER_68	3887426	3916169	+	4629.7	2285	https://v10-1.orthodb.org/?query=84at7088	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
86at7088	Complete	SUPER_9	1052049	1092944	+	3397.1	2020	https://v10-1.orthodb.org/?query=86at7088	UME domain
88at7088	Complete	SUPER_6	7490745	7531170	+	5614.4	2888	https://v10-1.orthodb.org/?query=88at7088	Chromo domain
96at7088	Complete	SUPER_Z	4816240	4636247	-	3913.4	1990	https://v10-1.orthodb.org/?query=96at7088	Laminin G domain
